instrument,samba,mix,sdr,isr,sir,sar,perm
SK,SA,8,-9.081472224592396,0.028880178843838134,-38.25445401563252,18.684881611643366,5.0
SU,SA,8,-0.3585874802036281,0.002440053304483526,-26.449912284003812,8.037505684536264,5.0
TB,SA,8,-4.463521139949737,2.596182965296879,-12.72842886458908,10.10943444883129,6.0
TT,SA,8,-3.485543997893811,0.325563733857199,-17.711124000329246,11.798810767711668,7.0
AG,SA,9,8.190415497220345,12.67370669433621,12.695021328213244,11.086905483246783,0
CX,SA,9,0.37557494017646365,0.5630154725557226,-3.4341331395031998,3.2386973207469945,1
CU,SA,9,8.878476258532025,12.381315480134718,13.747120619884257,11.130384767727326,2
PD,SA,9,-0.031039438944871725,0.15497391069408675,-12.762052053099946,7.696623358756228,3
RR,SA,9,-1.2270066588613089,0.5291968537683858,-18.078650417976647,3.2274732827146853,4
RP,SA,9,-0.12937377343745085,0.007921055197360121,-23.6266463204627,6.5461717472688905,4
SK,SA,9,-9.193612970506413,0.010008427461003229,-38.22583838994275,18.981756478526478,5
SU,SA,9,-0.3631919344458839,0.0012852254167274595,-27.21425037002045,3.7715033004045733,6
TB,SA,9,-4.397599365754347,3.0832298650787298,-12.150792920488346,9.857734871480204,7
TT,SA,9,-3.5126016656946883,0.29584408147726604,-18.11308805279798,12.135717427431569,8
AG,SA,10,7.922409351202139,12.31240337671638,12.37809616769194,10.983788108890113,0
CX,SA,10,0.31341407083727857,0.4762654002013178,-4.966762449612442,3.2502938199391074,1
CU,SA,10,8.283222859254609,12.325467474592669,13.645928981922568,10.930209449625758,2
PD,SA,10,-0.03372346083908735,0.1523215944276154,-12.8306381419163,7.646140216750526,3
RR,SA,10,-0.7506573351401424,0.4940537108916688,-16.432493500311722,2.2890684231025507,4
RP,SA,10,-0.12690603619106652,0.006900601483573857,-24.13674951783929,6.539127035643006,5
SK,SA,10,-9.211795470289047,0.008461764258611441,-38.1564130445234,19.004334118384204,6
SU,SA,10,-0.343169847293769,0.0009940403592375595,-27.936264716706965,2.872205316860631,7
